frame,seconds,scene,mean_luma,stddev_luma,dark_fraction_le_5,white_fraction_ge_250,previous_frame_mad,changed_fraction_gt_8
199,6.633333,2,236.287292,26.724482,0.0,0.296736,0.027014,0.0
200,6.666667,2,236.288264,26.725963,0.0,0.296875,0.026528,0.0
201,6.7,2,236.288542,26.732307,0.0,0.297014,0.023889,0.0
202,6.733333,2,236.288889,26.730216,0.0,0.297569,0.025625,0.0
203,6.766667,2,236.286111,26.739815,0.0,0.2975,0.024583,0.0
204,6.8,2,236.28375,26.747934,0.0,0.297778,0.023889,0.0
205,6.833333,2,236.285417,26.745307,0.0,0.297847,0.018889,0.0
206,6.866667,2,236.288889,26.743006,0.0,0.297986,0.025,0.0
207,6.9,2,236.290972,26.746701,0.0,0.298125,0.0225,0.0
208,6.933333,2,236.293403,26.747811,0.0,0.298264,0.020347,0.0
209,6.966667,2,236.291806,26.745456,0.0,0.298542,0.019097,0.0
210,7.0,2,236.292917,26.75133,0.0,0.298889,0.019722,0.0
211,7.033333,2,236.292361,26.755011,0.0,0.299236,0.018472,0.0
212,7.066667,2,236.292917,26.755075,0.0,0.299722,0.018194,0.0
213,7.1,2,236.293472,26.75183,0.0,0.301111,0.018889,0.0
214,7.133333,2,236.292014,26.761974,0.0,0.301528,0.018264,0.0
215,7.166667,2,236.293403,26.762309,0.0,0.302083,0.01625,0.0
216,7.2,2,236.292222,26.766467,0.0,0.3025,0.018403,0.0
217,7.233333,2,236.292361,26.768484,0.0,0.302708,0.017083,0.0
218,7.266667,2,236.290833,26.772605,0.0,0.302847,0.016111,0.0
219,7.3,2,236.291111,26.77601,0.0,0.302917,0.014583,0.0
220,7.333333,2,236.291667,26.776372,0.0,0.303194,0.015139,0.0
221,7.366667,2,236.290139,26.784725,0.0,0.303403,0.017917,0.0
222,7.4,2,236.293472,26.780909,0.0,0.303681,0.014583,0.0
223,7.433333,2,236.292778,26.78339,0.0,0.303819,0.014722,0.0
224,7.466667,2,236.293403,26.781551,0.0,0.303958,0.016319,0.0
225,7.5,2,236.293889,26.783844,0.0,0.304167,0.015486,0.0
226,7.533333,2,236.293542,26.784959,0.0,0.304236,0.015486,0.0
227,7.566667,2,236.292361,26.788305,0.0,0.304306,0.016181,0.0
228,7.6,2,236.293194,26.788099,0.0,0.304375,0.014583,0.0
229,7.633333,2,236.2925,26.791043,0.0,0.304444,0.016667,0.0
230,7.666667,2,236.292778,26.793992,0.0,0.304444,0.017778,0.0
231,7.7,2,236.295278,26.79643,0.0,0.304792,0.021389,0.0
232,7.733333,2,236.295208,26.797269,0.0,0.305,0.019514,0.0
233,7.766667,2,236.292361,26.798942,0.0,0.304931,0.024375,0.0
234,7.8,2,236.292014,26.795474,0.0,0.305139,0.026319,0.000139
235,7.833333,2,236.287847,26.798867,0.0,0.305069,0.033611,0.000417
236,7.866667,2,236.287222,26.798241,0.0,0.305208,0.032431,0.000417
237,7.9,2,236.282292,26.806746,0.0,0.305139,0.041597,0.000417
238,7.933333,2,236.305903,26.784274,0.0,0.305556,0.055139,0.000764
239,7.966667,2,236.295556,26.793086,0.0,0.305069,0.050069,0.000972
240,8.0,2,236.30125,26.781686,0.0,0.305139,0.039722,0.000417
241,8.033333,2,236.278264,26.807169,0.0,0.304931,0.058542,0.000903
242,8.066667,2,236.300903,26.784458,0.0,0.304931,0.065556,0.000903
243,8.1,2,236.292778,26.800305,0.0,0.305069,0.051875,0.000694
244,8.133333,2,236.301875,26.797127,0.0,0.305139,0.060208,0.000972
245,8.166667,2,236.286181,26.810466,0.0,0.304931,0.067083,0.000833
246,8.2,2,236.314514,26.76386,0.0,0.304861,0.072639,0.000972
247,8.233333,2,236.313681,26.728338,0.0,0.304931,0.073056,0.001042
248,8.266667,2,236.334861,26.686885,0.0,0.304792,0.077986,0.001042
249,8.3,2,236.327153,26.655966,0.0,0.304931,0.079514,0.000972
250,8.333333,2,236.28875,26.601231,0.0,0.304861,0.163681,0.001111
251,8.366667,2,236.323194,26.535217,0.0,0.305347,0.087083,0.000833
252,8.4,2,236.326319,26.53499,0.0,0.305208,0.081042,0.001042
253,8.433333,2,236.3425,26.487692,0.0,0.305486,0.076319,0.000764
254,8.466667,2,236.326667,26.492883,0.0,0.305069,0.069444,0.000417
255,8.5,2,236.353333,26.476502,0.0,0.305069,0.075833,0.000208
256,8.533333,2,236.346875,26.493564,0.0,0.303681,0.072431,6.9e-05
257,8.566667,2,236.354583,26.500814,0.0,0.303333,0.076042,0.000278
258,8.6,2,236.334167,26.538771,0.0,0.302986,0.075,0.000278
259,8.633333,2,236.357222,26.520176,0.0,0.301111,0.087917,0.000208
260,8.666667,2,236.353611,26.5306,0.0,0.299792,0.086389,0.000208
261,8.7,2,236.364653,26.517162,0.0,0.299097,0.082153,0.0
262,8.733333,2,236.341181,26.554515,0.0,0.298264,0.094444,0.000208
263,8.766667,2,236.370486,26.529382,0.0,0.297917,0.105556,0.000556
264,8.8,2,236.370556,26.523358,0.0,0.295069,0.107431,0.000694
265,8.833333,2,236.377986,26.513531,0.0,0.295069,0.107153,0.000694
266,8.866667,2,236.361875,26.52322,0.0,0.293889,0.1225,0.001042
267,8.9,2,236.386736,26.474717,0.0,0.293889,0.134167,0.000764
268,8.933333,2,236.38875,26.475846,0.0,0.293819,0.133125,0.001528
269,8.966667,2,236.397639,26.483162,0.0,0.296458,0.133889,0.001667
270,9.0,2,236.38125,26.521725,0.0,0.296111,0.130417,0.001111
271,9.033333,2,236.400486,26.556184,0.0,0.295764,0.138958,0.001111
272,9.066667,2,236.388264,26.6249,0.0,0.295764,0.131111,0.001389
273,9.1,2,236.386736,26.67928,0.0,0.295,0.1325,0.001111
274,9.133333,2,236.356458,26.753428,0.0,0.294097,0.1325,0.000764
275,9.166667,2,236.378889,26.768271,0.0,0.294306,0.139375,0.000903
276,9.2,2,236.361042,26.824209,0.0,0.294653,0.138403,0.001319
277,9.233333,2,236.356944,26.896276,0.0,0.295,0.138542,0.001458
278,9.266667,2,236.320208,26.99917,0.0,0.294514,0.151458,0.002014
279,9.3,2,236.351042,26.956207,0.0,0.295625,0.39625,0.01375
280,9.333333,2,236.347014,26.941378,0.0,0.292639,0.866111,0.028958
281,9.366667,2,236.369028,26.843064,0.0,0.292986,1.170486,0.035764
282,9.4,2,236.3725,26.74689,0.0,0.292917,1.439167,0.042153
283,9.433333,2,236.393681,26.568626,0.0,0.294306,1.648403,0.046944
284,9.466667,2,236.423472,26.326011,0.0,0.292639,1.782569,0.046736
285,9.5,2,236.599792,25.648934,0.0,0.293819,2.024514,0.056736
286,9.533333,2,236.834583,24.94656,0.0,0.292639,2.188542,0.061042
287,9.566667,2,237.064514,24.368723,0.0,0.283681,2.203542,0.061597
288,9.6,2,237.2575,24.141092,0.0,0.280764,2.219653,0.058681
289,9.633333,2,237.426458,23.906752,0.0,0.276806,2.245625,0.058194
290,9.666667,2,237.570972,23.867003,0.0,0.27375,2.217986,0.058611
291,9.7,2,237.676458,23.805913,0.0,0.273681,2.251458,0.053333
292,9.733333,2,237.743125,23.497268,0.0,0.268819,2.200694,0.052361
293,9.766667,2,237.696528,23.206886,0.0,0.258889,2.036875,0.046875
294,9.8,2,237.609167,23.020559,0.0,0.251806,1.926111,0.044653
295,9.833333,2,237.627778,22.154481,0.0,0.245069,1.96125,0.045625
296,9.866667,2,237.654028,20.246177,0.0,0.232778,2.039306,0.046736
297,9.9,2,237.783333,18.511824,0.0,0.218889,1.743194,0.043958
298,9.933333,2,237.593264,16.525558,0.0,0.034653,1.825347,0.040556
299,9.966667,2,237.300139,14.513095,0.0,0.002361,1.712292,0.036944
300,10.0,3,237.065486,12.897484,0.0,6.9e-05,1.445903,0.031875
301,10.033333,3,236.919514,11.505523,0.0,0.0,1.181528,0.029931
302,10.066667,3,236.717847,10.341833,0.0,0.0,1.063056,0.026875
303,10.1,3,236.530486,9.377369,0.0,0.0,0.944722,0.027431
304,10.133333,3,236.277361,8.716301,0.0,0.0,0.848681,0.021875
305,10.166667,3,236.199236,8.296792,0.0,0.0,0.657292,0.018958
306,10.2,3,236.245278,8.081313,0.0,0.0,0.626042,0.018958
307,10.233333,3,236.361597,8.051295,0.0,0.0,0.670347,0.019583
308,10.266667,3,236.548125,8.123417,0.0,0.0,0.699306,0.017083
309,10.3,3,236.742986,8.346822,0.0,0.0,0.721528,0.019444
310,10.333333,3,236.911042,8.738608,0.0,6.9e-05,0.734306,0.021944
311,10.366667,3,237.187292,9.120124,0.0,0.002847,0.816111,0.021458
312,10.4,3,237.417153,9.555682,0.0,0.046319,0.854583,0.024722
313,10.433333,3,237.480903,9.830066,0.0,0.124792,0.653472,0.023889
314,10.466667,3,237.488333,10.222409,0.0,0.129861,0.745347,0.024931
315,10.5,3,237.496111,10.259006,0.0,0.134444,0.746667,0.023264
316,10.533333,3,237.396667,10.524476,0.0,0.138403,0.624167,0.02125
317,10.566667,3,237.292222,10.677392,0.0,0.135764,0.586944,0.024722
318,10.6,3,237.1575,10.937318,0.0,0.136111,0.558194,0.024097
319,10.633333,3,237.010069,11.485273,0.0,0.137708,0.445347,0.01875
320,10.666667,3,236.808125,12.20126,0.0,0.138542,0.318333,0.011389
321,10.7,3,236.616597,13.095213,0.0,0.138403,0.267083,0.011319
322,10.733333,3,236.435972,14.118455,0.0,0.13875,0.292847,0.011667
323,10.766667,3,236.325208,14.821072,0.0,0.139514,0.252292,0.007153
324,10.8,3,236.350069,14.834617,0.0,0.139931,0.185694,0.002847
325,10.833333,3,236.392986,14.853019,0.0,0.139583,0.245972,0.004444
326,10.866667,3,236.429028,14.887111,0.0,0.139792,0.299514,0.006389
327,10.9,3,236.517222,14.920446,0.0,0.140486,0.388333,0.007222
328,10.933333,3,236.545069,15.010308,0.0,0.140278,0.426181,0.011389
329,10.966667,3,236.659167,15.085804,0.0,0.140556,0.537292,0.010556
330,11.0,3,236.713264,15.221675,0.0,0.140694,0.622569,0.017639
331,11.033333,3,236.812639,15.337818,0.0,0.143333,0.694097,0.017847
332,11.066667,3,236.957083,15.526231,0.0,0.166181,0.846389,0.023611
333,11.1,3,237.033194,15.690302,0.0,0.190139,0.857222,0.022431
334,11.133333,3,237.113472,15.840368,0.0,0.194861,0.969583,0.030208
335,11.166667,3,237.230764,15.947205,0.0,0.196111,0.963125,0.028403
336,11.2,3,237.381597,16.145192,0.0,0.195069,1.099028,0.033403
337,11.233333,3,237.458819,16.255045,0.0,0.196806,1.067917,0.030278
338,11.266667,3,237.601319,16.434272,0.0,0.220556,1.133194,0.036111
339,11.3,3,237.714722,16.601452,0.0,0.257569,1.038403,0.034653
340,11.333333,3,237.789167,16.855369,0.0,0.258194,1.023611,0.033472
341,11.366667,3,237.866875,16.90893,0.0,0.256597,0.934097,0.033611
342,11.4,3,237.955139,17.080425,0.0,0.256528,0.834792,0.027361
343,11.433333,3,238.058889,17.190667,0.0,0.27125,0.879444,0.030139
344,11.466667,3,238.110069,17.272173,0.0,0.310139,0.799236,0.026458
345,11.5,3,238.117361,17.398982,0.0,0.306736,0.710069,0.025208
346,11.533333,3,238.181042,17.418901,0.0,0.313819,0.621875,0.020069
347,11.566667,3,238.166181,17.50034,0.0,0.312986,0.477222,0.017153
348,11.6,3,238.201042,17.458783,0.0,0.313889,0.462083,0.013681
349,11.633333,3,238.185625,17.514337,0.0,0.314306,0.389583,0.011944
350,11.666667,3,238.226944,17.427844,0.0,0.314931,0.334792,0.009097
351,11.7,3,238.215417,17.43248,0.0,0.315278,0.219167,0.006389
352,11.733333,3,238.225417,17.420929,0.0,0.315486,0.109167,0.001042
353,11.766667,3,238.192778,17.452461,0.0,0.315069,0.054167,6.9e-05
354,11.8,3,238.231528,17.412312,0.0,0.315139,0.06125,6.9e-05
355,11.833333,3,238.218056,17.426184,0.0,0.314861,0.038056,0.0
356,11.866667,3,238.231806,17.404598,0.0,0.315278,0.041806,0.0
357,11.9,3,238.196736,17.441624,0.0,0.314514,0.048542,0.0
358,11.933333,3,238.230417,17.402525,0.0,0.314722,0.057292,0.0
359,11.966667,3,238.218542,17.414871,0.0,0.314236,0.033819,0.0
360,12.0,3,238.224653,17.404637,0.0,0.314236,0.030139,0.0
361,12.033333,3,238.194722,17.440645,0.0,0.313819,0.039931,0.0
362,12.066667,3,238.225486,17.40329,0.0,0.314028,0.046458,0.0
363,12.1,3,238.222639,17.412671,0.0,0.314167,0.024792,0.0
364,12.133333,3,238.228403,17.402961,0.0,0.314375,0.026597,0.0
