frame,seconds,scene,mean_luma,stddev_luma,dark_fraction_le_5,white_fraction_ge_250,previous_frame_mad,changed_fraction_gt_8
191,6.366667,2,235.941736,27.249518,0.0,0.294097,0.033194,0.0
192,6.4,2,235.924861,27.28014,0.0,0.294028,0.034514,0.0
193,6.433333,2,235.941667,27.265035,0.0,0.293958,0.037222,0.0
194,6.466667,2,235.935625,27.278987,0.0,0.293819,0.029514,0.0
195,6.5,2,235.94125,27.278194,0.0,0.293958,0.030069,0.0
196,6.533333,2,235.923611,27.305702,0.0,0.293958,0.031667,0.0
197,6.566667,2,235.939097,27.289054,0.0,0.294167,0.033403,0.0
198,6.6,2,235.934306,27.301564,0.0,0.294028,0.026597,0.0
199,6.633333,2,235.939444,27.299266,0.0,0.293958,0.02375,0.0
200,6.666667,2,235.920556,27.325841,0.0,0.294097,0.031528,0.0
201,6.7,2,235.938611,27.306104,0.0,0.294375,0.03125,0.0
202,6.733333,2,235.935069,27.313698,0.0,0.294514,0.023819,0.0
203,6.766667,2,235.942222,27.309878,0.0,0.294514,0.024375,0.0
204,6.8,2,235.925903,27.331728,0.0,0.294653,0.026319,0.0
205,6.833333,2,235.940833,27.313402,0.0,0.294931,0.028403,0.0
206,6.866667,2,235.936319,27.322524,0.0,0.295278,0.021597,0.0
207,6.9,2,235.941181,27.319198,0.0,0.295556,0.019583,0.0
208,6.933333,2,235.925,27.343396,0.0,0.295625,0.024236,0.0
209,6.966667,2,235.941597,27.32506,0.0,0.295833,0.026181,0.0
210,7.0,2,235.939028,27.334132,0.0,0.296111,0.020486,0.0
211,7.033333,2,235.943681,27.332032,0.0,0.296319,0.020069,0.0
212,7.066667,2,235.928056,27.35152,0.0,0.296181,0.022014,0.0
213,7.1,2,235.946806,27.331704,0.0,0.296806,0.02625,0.0
214,7.133333,2,235.943056,27.342264,0.0,0.297292,0.018194,0.0
215,7.166667,2,235.947222,27.340692,0.0,0.298056,0.017639,0.0
216,7.2,2,235.931528,27.367154,0.0,0.298194,0.023056,0.0
217,7.233333,2,235.946528,27.352517,0.0,0.299722,0.024028,0.0
218,7.266667,2,235.943125,27.361394,0.0,0.299722,0.014514,0.0
219,7.3,2,235.946806,27.357851,0.0,0.299792,0.017708,0.0
220,7.333333,2,235.931111,27.383361,0.0,0.299653,0.021111,0.0
221,7.366667,2,235.946944,27.366265,0.0,0.300069,0.022778,0.0
222,7.4,2,235.943056,27.375589,0.0,0.300069,0.013611,0.0
223,7.433333,2,235.944931,27.373839,0.0,0.300139,0.013125,0.0
224,7.466667,2,235.931597,27.3975,0.0,0.300069,0.018472,0.0
225,7.5,2,235.945556,27.381273,0.0,0.300625,0.020903,0.0
226,7.533333,2,235.940556,27.388444,0.0,0.300694,0.014028,0.0
227,7.566667,2,235.944236,27.382748,0.0,0.301042,0.012986,0.0
228,7.6,2,235.932639,27.400057,0.0,0.300972,0.017847,0.0
229,7.633333,2,235.947847,27.381299,0.0,0.301181,0.022014,0.0
230,7.666667,2,235.940972,27.392291,0.0,0.301042,0.017847,0.0
231,7.7,2,235.947569,27.382536,0.0,0.30125,0.017708,0.0
232,7.733333,2,235.933958,27.4029,0.0,0.301181,0.023056,0.0
233,7.766667,2,235.945764,27.384146,0.0,0.301319,0.033194,0.0
234,7.8,2,235.938958,27.391094,0.0,0.301389,0.0275,0.000139
235,7.833333,2,235.939792,27.384559,0.0,0.30125,0.031111,0.000486
236,7.866667,2,235.91875,27.409068,0.0,0.301111,0.037986,0.000486
237,7.9,2,235.926667,27.395565,0.0,0.301181,0.043611,0.000625
238,7.933333,2,235.920486,27.40367,0.0,0.30125,0.047986,0.000764
239,7.966667,2,235.924861,27.392784,0.0,0.300972,0.050764,0.000972
240,8.0,2,235.910764,27.414638,0.0,0.301042,0.044931,0.000417
241,8.033333,2,235.920208,27.401715,0.0,0.300347,0.065,0.000833
242,8.066667,2,235.910625,27.404995,0.0,0.300139,0.065,0.000903
243,8.1,2,235.914097,27.419157,0.0,0.300278,0.057917,0.000833
244,8.133333,2,235.900139,27.440466,0.0,0.3,0.072847,0.001042
245,8.166667,2,235.916736,27.410001,0.0,0.299861,0.076597,0.000833
246,8.2,2,235.918194,27.404756,0.0,0.299306,0.077569,0.000972
247,8.233333,2,235.937292,27.355634,0.0,0.298889,0.079375,0.001042
248,8.266667,2,235.934931,27.333796,0.0,0.298403,0.088333,0.001111
249,8.3,2,235.962292,27.260873,0.0,0.298125,0.088889,0.000903
250,8.333333,2,235.973681,27.216875,0.0,0.297222,0.086389,0.000972
251,8.366667,2,235.986736,27.170852,0.0,0.29625,0.085139,0.000833
252,8.4,2,235.977778,27.185922,0.0,0.296111,0.089931,0.000972
253,8.433333,2,235.999167,27.13073,0.0,0.296111,0.086528,0.000764
254,8.466667,2,235.995,27.125362,0.0,0.295903,0.079306,0.000486
255,8.5,2,235.998125,27.112383,0.0,0.295833,0.073125,0.000208
256,8.533333,2,235.987986,27.13047,0.0,0.295903,0.068333,6.9e-05
257,8.566667,2,236.001458,27.133191,0.0,0.295972,0.080694,0.000347
258,8.6,2,235.996319,27.146407,0.0,0.295972,0.078194,0.000208
259,8.633333,2,236.001944,27.151281,0.0,0.295972,0.085069,0.000208
260,8.666667,2,235.989306,27.168055,0.0,0.295833,0.0875,0.000208
261,8.7,2,236.003056,27.154872,0.0,0.296042,0.08625,0.0
262,8.733333,2,236.000556,27.167081,0.0,0.295972,0.096806,0.000278
263,8.766667,2,236.009583,27.167296,0.0,0.293194,0.100417,0.000417
264,8.8,2,236.001667,27.17252,0.0,0.293264,0.11375,0.000764
265,8.833333,2,236.022639,27.152364,0.0,0.292917,0.126111,0.000694
266,8.866667,2,236.020486,27.151216,0.0,0.292917,0.127708,0.000972
267,8.9,2,236.035625,27.12065,0.0,0.292639,0.1275,0.001111
268,8.933333,2,236.0275,27.132859,0.0,0.292569,0.142708,0.001389
269,8.966667,2,236.046875,27.134377,0.0,0.293125,0.155625,0.002083
270,9.0,2,236.039931,27.178673,0.0,0.295278,0.141528,0.001667
271,9.033333,2,236.047222,27.217753,0.0,0.295347,0.138542,0.001875
272,9.066667,2,236.025556,27.306726,0.0,0.295764,0.1375,0.001806
273,9.1,2,236.033542,27.354104,0.0,0.295486,0.141736,0.001806
274,9.133333,2,236.012292,27.413886,0.0,0.294792,0.140278,0.001319
275,9.166667,2,236.015417,27.431666,0.0,0.294167,0.140069,0.001528
276,9.2,2,235.991389,27.485871,0.0,0.294583,0.144444,0.001528
277,9.233333,2,235.979653,27.552436,0.0,0.294375,0.147292,0.002292
278,9.266667,2,235.977778,27.609226,0.0,0.294514,0.157708,0.002986
279,9.3,2,235.972153,27.602209,0.0,0.295278,0.415069,0.015833
280,9.333333,2,235.984861,27.579857,0.0,0.292431,0.929514,0.032431
281,9.366667,2,236.011597,27.49642,0.0,0.292847,1.264792,0.036111
282,9.4,2,236.024375,27.39959,0.0,0.294236,1.545556,0.040903
283,9.433333,2,236.043958,27.18405,0.0,0.294097,1.768472,0.045208
284,9.466667,2,236.075208,26.924735,0.0,0.291389,1.910972,0.046806
285,9.5,2,236.272431,26.185654,0.0,0.292292,2.159306,0.057639
286,9.533333,2,236.5375,25.440445,0.0,0.290556,2.333819,0.061597
287,9.566667,2,236.765694,24.824324,0.0,0.280417,2.354861,0.062639
288,9.6,2,236.967431,24.629143,0.0,0.280486,2.316181,0.059028
289,9.633333,2,237.142014,24.360722,0.0,0.275278,2.376528,0.059931
290,9.666667,2,237.294514,24.335539,0.0,0.272986,2.33,0.056597
291,9.7,2,237.392569,24.313311,0.0,0.273194,2.377222,0.054653
292,9.733333,2,237.460694,23.974451,0.0,0.264931,2.330347,0.052778
293,9.766667,2,237.402847,23.669991,0.0,0.256875,2.143819,0.047708
294,9.8,2,237.333819,23.485389,0.0,0.251389,2.024861,0.045347
295,9.833333,2,237.392847,22.556261,0.0,0.244306,2.048611,0.04625
296,9.866667,2,237.457639,20.545441,0.0,0.230486,2.138819,0.0475
297,9.9,2,237.653125,18.716623,0.0,0.219375,1.768958,0.043681
298,9.933333,2,237.469236,16.618795,0.0,0.026458,1.880556,0.040833
299,9.966667,2,237.205764,14.61543,0.0,0.002847,1.720833,0.036875
300,10.0,3,236.975208,13.012019,0.0,6.9e-05,1.444722,0.031528
301,10.033333,3,236.85375,11.616864,0.0,0.0,1.183403,0.029792
302,10.066667,3,236.641736,10.458259,0.0,0.0,1.068542,0.026458
303,10.1,3,236.470694,9.48364,0.0,0.0,0.947153,0.026458
304,10.133333,3,236.2075,8.850683,0.0,0.0,0.840417,0.021875
305,10.166667,3,236.15625,8.435278,0.0,0.0,0.646389,0.018264
306,10.2,3,236.205972,8.223692,0.0,0.0,0.629306,0.018611
307,10.233333,3,236.321806,8.189478,0.0,0.0,0.662917,0.019236
308,10.266667,3,236.516597,8.268548,0.0,0.0,0.711181,0.0175
309,10.3,3,236.671667,8.489322,0.0,0.0,0.685208,0.018542
310,10.333333,3,236.863264,8.874205,0.0,6.9e-05,0.742014,0.022639
311,10.366667,3,237.080833,9.220696,0.0,0.002431,0.763403,0.022083
312,10.4,3,237.361667,9.7064,0.0,0.049097,0.904306,0.024653
313,10.433333,3,237.410417,10.032421,0.0,0.126111,0.671389,0.024236
314,10.466667,3,237.429514,10.533579,0.0,0.132361,0.787708,0.025208
315,10.5,3,237.381111,10.585625,0.0,0.133889,0.744653,0.023542
316,10.533333,3,237.279583,10.881299,0.0,0.137847,0.664167,0.025069
317,10.566667,3,237.202014,11.083745,0.0,0.135694,0.614792,0.023056
318,10.6,3,237.030764,11.285639,0.0,0.135139,0.644861,0.026319
319,10.633333,3,236.870625,11.811647,0.0,0.135208,0.437778,0.018889
320,10.666667,3,236.683264,12.567132,0.0,0.136528,0.334306,0.012778
321,10.7,3,236.471806,13.500799,0.0,0.136597,0.279236,0.011944
322,10.733333,3,236.286528,14.601788,0.0,0.137778,0.315,0.012153
323,10.766667,3,236.139514,15.466219,0.0,0.137222,0.279514,0.010278
324,10.8,3,236.184861,15.463061,0.0,0.138125,0.196042,0.0025
325,10.833333,3,236.198611,15.492561,0.0,0.137431,0.235278,0.003958
326,10.866667,3,236.265139,15.505603,0.0,0.138889,0.303611,0.005625
327,10.9,3,236.308958,15.553064,0.0,0.138333,0.360903,0.006944
328,10.933333,3,236.376667,15.614859,0.0,0.139375,0.424653,0.010694
329,10.966667,3,236.435139,15.70776,0.0,0.138264,0.516111,0.011111
330,11.0,3,236.535417,15.826494,0.0,0.139236,0.635,0.017569
331,11.033333,3,236.662778,15.919682,0.0,0.143542,0.690417,0.016944
332,11.066667,3,236.767222,16.126048,0.0,0.167778,0.847083,0.024722
333,11.1,3,236.829653,16.281045,0.0,0.189792,0.848958,0.021875
334,11.133333,3,236.927222,16.458525,0.0,0.192708,0.989097,0.031319
335,11.166667,3,237.000347,16.569213,0.0,0.194722,0.943958,0.028264
336,11.2,3,237.111875,16.812051,0.0,0.193611,1.098333,0.036806
337,11.233333,3,237.249722,16.847498,0.0,0.197847,1.077431,0.030556
338,11.266667,3,237.369514,17.065968,0.0,0.222153,1.156458,0.037361
339,11.3,3,237.438125,17.230752,0.0,0.255764,1.023611,0.034792
340,11.333333,3,237.541111,17.48842,0.0,0.252986,1.041458,0.035417
341,11.366667,3,237.618611,17.538397,0.0,0.255139,0.966528,0.035
342,11.4,3,237.694236,17.757969,0.0,0.254722,0.846319,0.026736
343,11.433333,3,237.790069,17.856792,0.0,0.270069,0.914583,0.031528
344,11.466667,3,237.844028,17.91717,0.0,0.307361,0.821042,0.026667
345,11.5,3,237.830278,18.110393,0.0,0.305764,0.755417,0.028681
346,11.533333,3,237.878056,18.137499,0.0,0.312778,0.630972,0.020208
347,11.566667,3,237.86375,18.215894,0.0,0.311667,0.491528,0.017708
348,11.6,3,237.880486,18.228567,0.0,0.312222,0.476597,0.014097
349,11.633333,3,237.896042,18.198385,0.0,0.313611,0.419861,0.011458
350,11.666667,3,237.893125,18.183323,0.0,0.314167,0.312778,0.009931
351,11.7,3,237.903056,18.166381,0.0,0.314792,0.224375,0.006597
352,11.733333,3,237.877431,18.184148,0.0,0.312639,0.116597,0.002153
353,11.766667,3,237.902014,18.142715,0.0,0.313681,0.051389,6.9e-05
354,11.8,3,237.892431,18.153995,0.0,0.314097,0.041528,6.9e-05
355,11.833333,3,237.898194,18.138152,0.0,0.314028,0.040069,0.0
356,11.866667,3,237.878819,18.16691,0.0,0.31375,0.043125,0.0
357,11.9,3,237.904306,18.128799,0.0,0.314306,0.047847,0.0
358,11.933333,3,237.896458,18.134897,0.0,0.314167,0.039931,0.0
359,11.966667,3,237.900208,18.123997,0.0,0.313542,0.035,0.0
360,12.0,3,237.876944,18.15578,0.0,0.313056,0.041736,0.0
361,12.033333,3,237.903611,18.120446,0.0,0.313333,0.043194,0.0
362,12.066667,3,237.896597,18.132531,0.0,0.313681,0.030486,0.0
363,12.1,3,237.904167,18.120089,0.0,0.313264,0.027431,0.0
364,12.133333,3,237.880417,18.155176,0.0,0.312917,0.0375,0.0
